0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/jsp/uploadFile/coat.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/jsp/uploadFile/CLOTH13.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/uploadFile/CLOTH13.jpg HTTP/1.1" 200 315865
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/uploadFile/event21.png HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/image/logo.gif HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/uploadFile/coat.jpg HTTP/1.1" 200 19207
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:46 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10292
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10292
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 200 76397
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/uploadFile/coat.jpg HTTP/1.1" 200 19207
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/uploadFile/event21.png HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/uploadFile/CLOTH13.jpg HTTP/1.1" 200 315865
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:55 +0900] "GET /Shopping_Mall/image/logo.gif HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:51:56 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10292
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:52:26 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9545
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9545
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 200 76397
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:53:11 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
